,feedback,rating
4693,"Arrogant, dismissive and RUDE!  After 2 hours in his office, Dr. Sandhu spent about 10 minutes with me & told me that my back looked like a lot of others & he would not do surgery: “surgery on WHAT?”  As he was leaving he suggested I should get a more recent MRI. When I pointed out that I did have one & that it was right there on the screen in the examining room, he still did not look at it! He then suggested I see a neurologist & left. I have since had surgery and am now 98% pain-free. There are plenty of good doctors who will treat you respectfully- I suggest you forget this guy & find one of them!",Rated 1 out of 5
4876,He's the reason I went elsewhere for my hip replacements.  I have no problem with a doctor being straightforward and honest but his manner is disgraceful and indicates a lack of human connection.  ,Rated 1 out of 5
4772,1 8 min appointment cost $200. Dr. Mizhiritsky had me in and out of there in 8 mins. He didn't take the time to understand my issue and did not give m a clear picture of the next steps. I was extremely dissatisfied and disappointed with my visit. I will never return. ,Rated 1 out of 5
4695,"Would NOT recommend. Ordered x-rays in-office and pre-appt BUT refused to review the images w/ me or offer an any opinion except to say it was ""terrible."" Failed to assess my back or look at it, never tested range of motion, didn't ask about my limitations or pain or what caused my problem in the first place. Suggested ""therapy"" but dismissed request for any referrals. Clearly only wants successful outcomes. He had a chance to review my case before offering me an appt. Total waste of time.    ",Rated 1 out of 5
4749,"Horrible experience.No way to speak with the Doctor.He spends 10 min on 1 time visit.Don't return calls and the assistant, when she calls tells me that she doesn't have time to be on the phone.Staff doesn't answer the phone.Rude.Don't aggravate yourself and go somewhere else  ",Rated 1 out of 5
4753,"Dr. Bauman operated on me for an ACL tear. After surgery, I had complications but Dr. Bauman pooh-poohed them without seeing me, even when my physical therapist called with her concerns. I ended up going to another surgeon at another hospital for two corrective surgeries. ",Rated 1 out of 5
5004,"in my personal opinion, Dr. Waller cares about his wallet, not his patients. I am sure that what I experienced as his hasty, sloppy procedures caused bone migration and disfiguration, warping of my toes, and perpetual pain. I would not recommend him. ",Rated 1 out of 5
4791,"This man is the least compassionate, least empathetic person  I have ever met in a helping profession. He may have had an excellent reputation as a surgeon, when he was younger, but now has no interest in helping anyone w a difficult case. I went to him w severe osteoarthritis, in both hips. He made me wait over 2hours, did X-rays and a painful examination, and then told me he wouldn’t operate on me because I am high risk. And he didnt give me a referral to another surgeon who could help me. ",Rated 1 out of 5
4611,"Years have passed after ""Dr."" Gerling did a MAJOR back surgery on me-a laminectomy-fusion. I'm still in an incredible amount of pain. Learn from me & stay far away from him and don't even recommend him to your worst enemy.",Rated 1 out of 5
4980,Was horrible.. Staff and Doctor ,Rated 1 out of 5
