viewCount,likeCount,subscribers,totalViews,totalVideos,durationSecs,title length,Label
1410150,18797,369000,20517888,1850,4520,76,1
561083,6564,369000,20517888,1850,4697,100,1
264242,2629,369000,20517888,1850,4774,99,1
129002,1091,369000,20517888,1850,4922,98,1
125920,1291,369000,20517888,1850,4732,88,1
109299,1088,369000,20517888,1850,4857,94,1
79884,766,369000,20517888,1850,4825,78,1
57996,714,369000,20517888,1850,5006,99,1
39148,336,369000,20517888,1850,5163,90,1
77085,915,369000,20517888,1850,4841,97,1
79894,1024,369000,20517888,1850,4814,93,1
38725,467,369000,20517888,1850,4598,98,1
43780,641,369000,20517888,1850,4735,100,1
86974,1101,369000,20517888,1850,4831,97,1
36003,338,369000,20517888,1850,4788,100,1
36917,358,369000,20517888,1850,4690,97,1
47676,594,369000,20517888,1850,4754,100,1
21447,216,369000,20517888,1850,4815,100,1
19358,163,369000,20517888,1850,4867,100,1
27127,354,369000,20517888,1850,4363,100,1
18154,203,6640,2170162,546,2017,29,0
3107,42,6640,2170162,546,970,40,0
16379,166,6640,2170162,546,681,59,0
2523,33,6640,2170162,546,2963,59,0
1828,19,6640,2170162,546,736,47,0
2085,27,6640,2170162,546,1228,51,0
4323,69,6640,2170162,546,3412,60,0
732,7,6640,2170162,546,502,44,0
633,7,6640,2170162,546,465,48,0
494,12,6640,2170162,546,648,48,0
547,11,6640,2170162,546,826,59,0
2378,26,6640,2170162,546,1901,52,0
1675,15,6640,2170162,546,2341,53,0
1598,13,6640,2170162,546,2948,57,0
1761,12,6640,2170162,546,1171,62,0
1534,9,6640,2170162,546,2109,56,0
821199,9191,642000,42153717,537,563,78,1
567358,8595,642000,42153717,537,1258,42,1
227704,3471,642000,42153717,537,460,62,1
547553,7094,642000,42153717,537,1623,51,1
286319,5413,642000,42153717,537,1327,74,1
143913,2958,642000,42153717,537,801,63,1
248898,4067,642000,42153717,537,634,56,1
140041,2098,642000,42153717,537,914,43,1
179128,2882,642000,42153717,537,461,42,1
184829,2620,642000,42153717,537,686,38,1
86105,1224,642000,42153717,537,316,55,1
68863,1217,642000,42153717,537,353,40,1
79270,1467,642000,42153717,537,575,35,1
150583,1888,642000,42153717,537,734,75,1
20436,512,642000,42153717,537,343,96,1
160509,2313,642000,42153717,537,624,62,1
68070,876,642000,42153717,537,826,46,1
43898,596,642000,42153717,537,864,39,1
45258,501,642000,42153717,537,444,42,1
40226,464,642000,42153717,537,1298,53,1
27017,295,642000,42153717,537,785,48,1
51601,669,642000,42153717,537,471,51,1
18824,136,25600,2343442,392,731,30,0
4336,28,25600,2343442,392,574,29,0
3897,26,25600,2343442,392,334,31,0
2199,13,25600,2343442,392,451,31,0
4681,28,25600,2343442,392,569,33,0
3147,20,25600,2343442,392,313,33,0
2250,11,25600,2343442,392,680,28,0
1627,8,25600,2343442,392,416,28,0
1179,6,25600,2343442,392,383,29,0
824,2,25600,2343442,392,373,29,0
2140,21,25600,2343442,392,386,23,0
2189,15,25600,2343442,392,834,23,0
2252,8,25600,2343442,392,587,23,0
1969,6,25600,2343442,392,638,23,0
1796,9,25600,2343442,392,491,23,0
2420,18,25600,2343442,392,249,23,0
1543,6,25600,2343442,392,462,23,0
1393,5,25600,2343442,392,399,23,0
1061,4,25600,2343442,392,215,23,0
2399,12,25600,2343442,392,347,22,0
1708,8,25600,2343442,392,267,22,0
2741,24,25600,2343442,392,441,38,0
1932,11,25600,2343442,392,325,38,0
1572,11,25600,2343442,392,455,38,0
2967,13,25600,2343442,392,476,34,0
1678,8,25600,2343442,392,566,34,0
1066,6,25600,2343442,392,403,34,0
1322,7,25600,2343442,392,892,29,0
5395,67,25600,2343442,392,2436,28,0
437081,6697,1710000,347648425,2320,269,26,1
190196,3330,1710000,347648425,2320,483,34,1
187921,3173,1710000,347648425,2320,364,32,1
167539,3241,1710000,347648425,2320,760,23,1
131320,2364,1710000,347648425,2320,518,27,1
89031,1354,1710000,347648425,2320,171,26,1
114363,1346,1710000,347648425,2320,247,44,1
128278,2022,1710000,347648425,2320,625,47,1
113884,1643,1710000,347648425,2320,530,22,1
133018,2228,1710000,347648425,2320,551,35,1
118968,2664,1710000,347648425,2320,321,35,1
74607,1566,1710000,347648425,2320,314,28,1
160851,3013,1710000,347648425,2320,381,30,1
52930,940,1710000,347648425,2320,184,18,1
54891,1101,1710000,347648425,2320,331,18,1
47591,1286,1710000,347648425,2320,355,23,1
60217,1141,1710000,347648425,2320,415,42,1
52126,930,1710000,347648425,2320,283,25,1
71706,1374,1710000,347648425,2320,533,33,1
57157,946,1710000,347648425,2320,427,28,1
55490,1092,1710000,347648425,2320,325,17,1
53390,1043,1710000,347648425,2320,255,19,1
48064,866,1710000,347648425,2320,234,34,1
36250,660,1710000,347648425,2320,249,25,1
47449,897,1710000,347648425,2320,413,44,1
39227,689,1710000,347648425,2320,290,38,1
41439,780,1710000,347648425,2320,279,24,1
44212,809,1710000,347648425,2320,349,39,1
47285,908,1710000,347648425,2320,415,26,1
51037,997,1710000,347648425,2320,293,29,1
43446,693,1710000,347648425,2320,302,28,1
48831,903,1710000,347648425,2320,634,30,1
49725,903,1710000,347648425,2320,375,29,1
70858,2152,1710000,347648425,2320,388,43,1
33814,678,1710000,347648425,2320,323,29,1
45921,1000,1710000,347648425,2320,301,29,1
107256,2371,1710000,347648425,2320,393,25,1
49655,816,1710000,347648425,2320,344,39,1
27890,508,1710000,347648425,2320,278,31,1
71311,844,1710000,347648425,2320,275,28,1
32474,614,1710000,347648425,2320,79,16,1
36768,658,1710000,347648425,2320,455,31,1
32314,589,1710000,347648425,2320,365,28,1
35763,788,1710000,347648425,2320,314,41,1
51415,1225,1710000,347648425,2320,487,15,1
22137,395,1710000,347648425,2320,321,29,1
17684,336,1710000,347648425,2320,363,32,1
25369,469,1710000,347648425,2320,350,28,1
33754,652,1710000,347648425,2320,379,25,1
28590,580,1710000,347648425,2320,313,28,1
36808,593,1710000,347648425,2320,394,20,1
21862,340,1710000,347648425,2320,197,23,1
32743,501,1710000,347648425,2320,217,25,1
33610,532,1710000,347648425,2320,326,33,1
53983,913,1710000,347648425,2320,279,24,1
41911,785,1710000,347648425,2320,285,26,1
25177,431,1710000,347648425,2320,449,30,1
21422,427,1710000,347648425,2320,400,30,1
38364,675,1710000,347648425,2320,474,22,1
25736,447,1710000,347648425,2320,360,21,1
40217,760,1710000,347648425,2320,414,25,1
43292,887,1710000,347648425,2320,509,20,1
111341,3009,1710000,347648425,2320,609,20,1
32365,700,1710000,347648425,2320,360,35,1
60527,1226,1710000,347648425,2320,365,26,1
30834,544,1710000,347648425,2320,355,26,1
26442,432,1710000,347648425,2320,394,26,1
23508,357,1710000,347648425,2320,435,26,1
20453,360,1710000,347648425,2320,572,26,1
17055,286,1710000,347648425,2320,287,26,1
16702,281,1710000,347648425,2320,588,26,1
14404,234,1710000,347648425,2320,159,26,1
13811,218,1710000,347648425,2320,227,26,1
15500,251,1710000,347648425,2320,527,27,1
14242,238,1710000,347648425,2320,259,27,1
17671,309,1710000,347648425,2320,428,27,1
15583,239,1710000,347648425,2320,316,27,1
12987,226,1710000,347648425,2320,328,27,1
38646,807,1710000,347648425,2320,581,33,1
107430,2410,1710000,347648425,2320,556,15,1
35380,679,1710000,347648425,2320,187,34,1
33566,608,1710000,347648425,2320,216,38,1
84997,1647,1710000,347648425,2320,247,26,1
22100,374,1710000,347648425,2320,232,20,1
20144,360,1710000,347648425,2320,346,20,1
